"","symbol","company","exchange","date.x","price","currency","actions","date.y","open","close","adjusted","returns","year"
"749","601999.SS","Liaoning Publishing & Media Co","Shanghai",2007-12-21,4.64,"CNY","Priced",2007-12-21,16.629999,19.93,18.950382,3.29525862068966,2007
"750","RQIH.L","Randall & Quilter Invest Hldgs","LSE",2007-12-20,1.25,"GBP","Priced",2007-12-20,139.451004,142.033005,118.24958,112.626404,2007
"751","601601.SS","China Pacific Ins(Grp)Co Ltd","Shanghai",2007-12-25,30,"CNY","Priced",2007-12-25,51,48.169998,38.674423,0.6056666,2007
"752","SYNEX.BK","Synnex(Thailand)PCL","Thailand",2008-06-16,2.9,"THB","Priced",2008-06-16,2.72727,2.61818,1.368176,-0.0971793103448275,2008
"753","PDES.JK","Destinasi Tirta Nusantara Tbk","Jakarta",2008-07-08,200,"IDR","Priced",2008-07-08,250,340,325.796448,0.7,2008
"754","RIV","Rivera Capital Corp","TSXV",2008-05-05,0.1,"CAD","Priced",2016-01-08,19.48819,19.438976,13.928731,193.38976,2008
"755","7246.KL","Signature International Bhd","Kuala Lumpur",2008-01-28,1.25,"MYR","Priced",2008-01-24,0.63,0.525,0.277282,-0.58,2008
"756","532939.BO","Reliance Power Ltd","BSE",2008-02-11,430,"INR","Priced",2018-01-02,62.400002,57,57,-0.867441860465116,2008
"757","0143.KL","Key ASIC Bhd","Kuala Lumpur",2008-01-30,0.4,"MYR","Priced",2008-01-30,0.415,0.415,0.415,0.0374999999999999,2008
"758","5MQ.SI","Afor Ltd","SES",2008-01-18,0.33,"SGD","Priced",2008-01-18,0.31,0.325,0.215075,-0.0151515151515151,2008
"759","532953.BO","V-Guard Industries Ltd","BSE",2008-03-07,82,"INR","Priced",2018-01-02,240.449997,236.300003,236.300003,1.88170735365854,2008
"760","532939.BO","Reliance Power Ltd","BSE",2008-02-11,450,"INR","Priced",2018-01-02,62.400002,57,57,-0.873333333333333,2008
"761","DSI","Drake & Scull International","DPJSC",2009-03-16,1,"AED","Priced",2006-11-17,50.540001,50.549999,42.486183,49.549999,2009
"762","532944.BO","OnMobile Global Ltd","BSE",2008-02-19,440,"INR","Priced",2016-10-21,115.699997,112.099998,112.099998,-0.745227277272727,2008
"763","532945.BO","Shriram EPC Ltd","BSE",2008-02-20,300,"INR","Priced",2018-01-02,31.4,30.049999,30.049999,-0.899833336666667,2008
"764","532947.BO","IRB Infrastructure Developers","BSE",2008-02-25,185,"INR","Priced",2018-01-02,235.800003,229.25,229.25,0.239189189189189,2008
"765","ATT.WA","Azoty Tarnow","Warsaw",2008-06-30,19.5,"PLN","Priced",2008-06-30,18.85,15.99,14.770708,-0.18,2008
"766","7030.SR","Mobile Telecommun Co Saudi","Saudi",2008-02-18,10,"SAR","Priced",2010-03-04,8.28669,8.32896,8.32896,-0.167104,2008
"767","AGNC","American Capital Agency Corp","NasdaqGM",2008-05-15,20,"USD","Priced",2008-05-15,19.5,19.35,3.773533,-0.0325,2008
"768","532955.BO","Rural Electrification Corp Ltd","BSE",2008-03-12,105,"INR","Priced",2018-01-02,158.5,157.850006,157.850006,0.503333390476191,2008
"769","8200.SR","Saudi Re","Saudi",2008-03-15,10,"SAR","Priced",2010-03-03,13.7654,13.7654,13.7654,0.37654,2008
"770","SPRC.BK","Star Petroleum Refining Co Ltd","Thailand",2015-12-08,9,"THB","Priced",2015-12-08,8.5,8,6.320327,-0.111111111111111,2015
"771","9958.TW","Century Iron&Steel Industrial","Taiwan",2008-03-12,13.5,"TWD","Priced",2008-03-12,14.2037,18.5536,14.789768,0.374340740740741,2008
"772","E8Z.SI","Roxy-Pacific Holdings Ltd","SES",2008-03-13,0.3,"SGD","Priced",2008-03-12,0.14545,0.12606,0.065815,-0.5798,2008
"773","7249.KL","Ewein Bhd","Kuala Lumpur",2008-03-28,0.7,"MYR","Priced",2008-03-28,0.6687,0.83169,0.683234,0.188128571428572,2008
"774","601878.SS","Zheshang Securities Co Ltd","Shanghai",2017-06-26,8.45,"CNY","Priced",2017-06-26,12.17,12.17,11.998833,0.440236686390533,2017
"775","1508.HK","China Reinsurance(Group)Corp","HKSE",2015-10-26,2.7,"HKD","Priced",2015-10-26,2.77,2.7,2.451177,0,2015
"776","ALROC.PA","RocTool SA","Paris",2008-03-25,5.4,"EUR","Priced",2008-03-25,5.4,5.4,5.4,0,2008
"777","533022.BO","20 Microns Ltd","BSE",2008-10-06,55,"INR","Priced",2018-01-02,58.849998,58.25,58.25,0.0590909090909091,2008
"778","CBA.L","Ceiba Investments Ltd","LSE",2018-10-22,1.19,"GBP","Priced",2018-10-12,1,1,1,-0.159663865546218,2018
"779","CPS.WA","Cyfrowy Polsat SA","Warsaw",2008-05-06,12.5,"PLN","Priced",2008-05-06,13.47,13.14,11.564616,0.0512000000000001,2008
